                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     57,               0.048792,               0.035211,               0.055207,              0.0084905,                0.84984,                0.76884,                  0.843,                0.41791,                0.72616,                0.67919,                0.67473,                0.38568,               0.043776,               0.027333,               0.044936,              0.0059382,              0.0097293,              0.0097293,              0.0097293
                     58,               0.049242,               0.035603,                0.05874,               0.008337,                  0.785,                0.74961,                  0.813,                0.39793,                0.66764,                0.67429,                0.66583,                0.37621,               0.046439,               0.026824,               0.046607,              0.0062133,              0.0097245,              0.0097245,              0.0097245
                     59,               0.046471,               0.034351,               0.053845,              0.0079627,                0.78314,                0.76129,                0.81612,                 0.4306,                0.66733,                0.67062,                0.64878,                0.34266,               0.043738,               0.026667,               0.045754,               0.006268,              0.0097196,              0.0097196,              0.0097196
                     60,               0.046489,               0.034707,               0.055833,              0.0080469,                 0.8237,                0.74843,                0.81762,                0.40161,                0.71821,                0.65431,                 0.6643,                0.34193,                0.04455,               0.027445,               0.045853,              0.0064286,              0.0097148,              0.0097148,              0.0097148
                     61,               0.046462,               0.034253,               0.055499,              0.0075544,                0.78758,                0.72711,                0.80754,                 0.4245,                0.68128,                0.64762,                0.64777,                0.34133,               0.042589,               0.026913,               0.047157,              0.0061654,                0.00971,                0.00971,                0.00971
                     62,               0.046599,               0.037026,               0.056672,              0.0080928,                0.85051,                0.76779,                0.86484,                0.43798,                0.73018,                0.68225,                0.70212,                0.36836,               0.041823,               0.026022,               0.044127,              0.0056105,              0.0097051,              0.0097051,              0.0097051
                     63,               0.045205,               0.034816,               0.055863,              0.0078423,                0.77092,                0.78346,                0.82613,                0.45506,                0.68197,                0.71197,                0.69299,                0.40825,                0.04379,               0.027026,               0.044582,              0.0060476,              0.0097003,              0.0097003,              0.0097003
                     64,               0.045733,               0.035586,               0.056802,              0.0080169,                0.71367,                0.78409,                0.78784,                0.42341,                0.63827,                0.69658,                0.66351,                0.38097,               0.041447,               0.026849,               0.049708,              0.0059198,              0.0096955,              0.0096955,              0.0096955
                     65,               0.044656,               0.034482,               0.052948,              0.0073609,                0.79339,                0.77815,                0.84761,                0.49197,                0.71047,                0.71479,                0.72574,                 0.4011,               0.040912,                0.02568,                0.04445,              0.0054876,              0.0096906,              0.0096906,              0.0096906
                     66,                0.04585,               0.035356,               0.055414,              0.0072672,                 0.7487,                0.80396,                0.84446,                0.47976,                0.65431,                0.70933,                 0.6787,                0.38118,               0.039304,               0.026374,                0.04228,              0.0052898,              0.0096858,              0.0096858,              0.0096858
